route_id;station_from;station_to;Avg-cost
1;927001;903204;4626
2;927001;923903;5857
3;927001;923800;6109
4;927001;923706;6109
5;927001;923509;6413
6;927001;923104;10909
7;927001;922703;10417
8;927001;922008;9698
9;927001;921202;8599
10;927001;920708;7866
11;927001;920203;7461
12;927001;920002;7120
13;937107;930305;9698
14;927001;903401;5254
15;927001;924605;4626
16;927001;902201;1419
17;935506;902201;14486
18;935506;903204;15155
19;935506;903401;15446
20;935506;904404;16369
21;935506;920002;11289
22;935506;920203;11769
23;935506;920708;10909
24;935506;921202;10001
25;935506;922008;8990
26;935506;922703;8194
27;935506;923104;7461
28;927001;904404;8194
29;927001;930108;12274
30;932902;932809;164
31;932902;932902;27
32;932902;935703;4967
33;932902;935807;5254
34;932902;937906;5541
35;927001;937906;14160
36;927001;935807;14160
37;927001;935703;14160
38;927001;932902;12464
39;927001;932809;12274
40;927001;932705;12274
41;927001;932601;12274
42;927001;924408;4626
43;927001;930305;11289
44;927001;924501;4626
45;927001;930004;12274
46;927001;927800;832
47;927001;927105;614
48;927001;926403;3698
49;927001;926206;2361
50;927001;926102;2156
51;927001;925701;1419
52;927001;925400;2593
53;927001;925100;4012
54;927001;925006;4012
55;927001;924906;4312
56;935506;923800;12122
57;927001;930907;11920
58;920002;924605;3425
59;935506;923509;11920
60;920002;920002;27
61;920002;920203;355
62;920002;920708;969
63;920002;921202;2156
64;920002;922008;3221
65;920002;922703;4012
66;920002;923104;4626
67;920002;923509;1228
68;920002;923706;1419
69;920002;923800;1679
70;920002;923903;1924
71;920002;903401;11289
72;920002;924501;3425
73;920002;903204;10909
74;920002;924906;3425
75;920002;925006;3698
76;920002;925100;4012
77;920002;925400;5254
78;920002;925701;6109
79;920002;926102;7120
80;920002;926206;7120
81;920002;926403;8194
82;920002;927105;7461
83;920002;927800;7866
84;920002;930004;7120
85;920002;930108;7120
86;920002;924408;3221
87;935506;927800;14160
88;932902;930907;1924
89;935506;923903;12122
90;935506;924408;12464
91;935506;924501;12666
92;935506;924605;12666
93;935506;924906;12666
94;935506;925006;12805
95;935506;925100;12805
96;935506;925400;13108
97;935506;925701;13445
98;935506;926102;13770
99;935506;926206;13770
100;920002;904404;12805
101;935506;927105;14160
102;935506;923706;11920
103;935506;930004;5254
104;935506;930108;5254
105;935506;930305;7120
106;935506;930907;6413
107;935506;932601;5254
108;935506;932705;5254
109;935506;932809;4967
110;935506;932902;4967
111;935506;935703;109
112;935506;935807;300
113;935506;937906;969
114;920002;902201;8194
115;935506;926403;14486
116;913206;902201;14486
117;913206;923800;16369
118;927105;923509;6716
119;927105;923104;11289
120;927105;922703;10909
121;927105;922008;10001
122;927105;921202;9306
123;927105;920708;8194
124;927105;920203;7866
125;927105;920002;7461
126;927105;904404;7866
127;927105;903401;4626
