station_id;station_name;min;max;wait_cost
240000;Муром I;0;600;600
240809;Эсино;0;600;600
242005;Великодворье;0;600;600
242306;Комиссаровка;0;600;600
242607;Улыбышево;0;600;600
243506;Бутылицы;0;600;600
243607;Навашино;0;600;600
244208;Арзамас II;0;600;600
247009;Красный Узел;0;600;600
247206;Нуя;0;600;600
247403;Ардатов;0;600;600
248105;Канаш;0;600;600
248302;Цивильск;64;213;600
248504;Чебоксары;0;600;600
248603;Новочебоксарск;0;600;600
249004;Свияжск;0;600;600
249305;Каратун;0;600;600
250001;Юдино;0;600;600
250209;Лагерная;0;600;600
250707;Вахитово;0;600;600
250904;Восстание;0;600;600
251004;Дербышки;0;600;600
251305;Паратск;0;600;600
251502;Волжск;0;600;600
252401;Йошкар-Ола;0;600;600
253103;Кендери;0;600;600
253207;Высокая Гора;0;600;600
254002;Заструг;0;600;600
254708;Пычас;0;600;600
254905;Агрыз;0;600;600
255409;Ижевск;0;600;600
255503;Позимь;0;600;600
255607;Вожой;0;600;600
255804;Воткинск;0;600;600
256703;Сайгатка;0;600;600
257000;Кама;0;600;600
257301;Каучук;0;600;600
257602;Нефтекамск;0;600;600
258107;Чернушка;0;600;600
259006;Зюрзя;0;600;600
260003;Нижний Новгород-Сортировочный;0;600;600
260107;Нижний Новгород-Автозавод;0;600;600
260200;Нижний Новгород-Московский;0;600;600
261203;Костариха;0;600;600
261307;Починки;0;600;600
262600;Юрьевец;0;600;600
262704;Владимир;0;600;600
263105;Ковров I;0;600;600
263707;Вязники;0;600;600
264108;Ильино;64;130;600
264704;Дзержинск;0;600;600
264803;Игумново;0;600;600
264907;Петряевка;0;600;600
265007;Моховые Горы;0;600;600
266705;Арья;0;600;600
267801;Котельнич I;0;600;600
268503;Оричи;0;600;600
269309;Кожевенное;0;600;600
269402;Кудьма;34;80;600
270005;Лянгасово;0;600;600
270306;Киров-Котласский;0;600;600
270804;Стрижи;0;600;600
271205;Вахрушево;0;600;600
271309;Долгушино;0;600;600
272903;Подосиновец;64;213;600
273107;Луза;0;600;600
273304;Вятка;0;600;600
273408;Поздино;0;600;600
273605;Чепецкая;0;600;600
274006;Зуевка;0;600;600
274307;Яр;0;600;600
274608;Стальная;0;600;600
275403;Светлополянск;0;600;600
275704;Глазов;0;600;600
276904;Люкшудья;0;600;600
277409;Игра;0;600;600
830003;Московка;0;600;600
830107;Пламя;0;600;600
830200;Входная;0;600;600
830304;Карбышево I;0;600;600
830709;Омск-Пассажирский;0;600;600
831203;Омск-Восточный;0;600;600
831400;Омск-Северный;0;600;600
831504;Комбинатская;0;600;600
831608;Называевская;0;600;600
831805;Любинская;0;600;600
832808;Калачинская;0;600;600
833001;Татарская;0;600;600
833302;Чаны;0;600;600
833603;Барабинск;64;213;600
834108;Каргат;0;600;600
835609;Карасук I;0;600;600
836103;Хабары;0;600;600
836601;Камень-на-Оби;0;600;600
837106;Славгород;0;600;600
837604;Купино;0;600;600
837708;Чистоозерная;0;600;600
840005;Алтайская;0;600;600
840109;Барнаул;0;600;600
841402;Заринская;0;600;600
843200;Бийск;0;600;600
843408;Рубцовск;0;600;600
844307;Алейская;0;600;600
844701;Кулунда;0;600;600
845403;Новоблаговещенка;0;600;600
845704;Гилевка;0;600;600
845901;Корчино;0;600;600
850007;Инская;0;600;600
850204;Клещиха;0;600;600
850308;Чемской;20;200;600
850401;Сибирская;0;600;600
850505;Новосибирск-Южный;0;600;600
850609;Новосибирск-Главный;0;600;600
851207;Новосибирск-Западный;0;600;600
851508;Новосибирск-Восточный;0;600;600
851601;Иня-Восточная;0;600;600
852002;Жеребцово;0;600;600
852200;Коченево;0;600;600
852407;Черепаново;0;600;600
852708;Линево;0;600;600
852905;Ложок;0;600;600
853005;Искитим;0;600;600
853109;Бердск;0;600;600
853306;Сеятель;0;600;600
853804;Изынский;0;600;600
853908;Тогучин;0;600;600
